+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                           ;
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                       ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; Nios_system|nios2_qsys_0_jtag_debug_module_translator                                                                                                           ; 102   ; 6              ; 9            ; 6              ; 82     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|nios2_qsys_0_data_master_translator                                                                                                                 ; 103   ; 13             ; 0            ; 13             ; 94     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|nios2_qsys_0_instruction_master_translator                                                                                                          ; 103   ; 52             ; 0            ; 52             ; 94     ; 52              ; 52            ; 52              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[2].col[2].pe_inst|mac_inst|u_add                                                                  ; 32    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[2].col[2].pe_inst|mac_inst|u_mult                                                                 ; 32    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[2].col[2].pe_inst|mac_inst                                                                        ; 49    ; 0              ; 1            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[2].col[2].pe_inst                                                                                 ; 35    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[2].col[1].pe_inst|mac_inst|u_add                                                                  ; 32    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[2].col[1].pe_inst|mac_inst|u_mult                                                                 ; 32    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[2].col[1].pe_inst|mac_inst                                                                        ; 49    ; 0              ; 1            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[2].col[1].pe_inst                                                                                 ; 35    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[2].col[0].pe_inst|mac_inst|u_add                                                                  ; 32    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[2].col[0].pe_inst|mac_inst|u_mult                                                                 ; 32    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[2].col[0].pe_inst|mac_inst                                                                        ; 49    ; 0              ; 1            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[2].col[0].pe_inst                                                                                 ; 35    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[1].col[2].pe_inst|mac_inst|u_add                                                                  ; 32    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[1].col[2].pe_inst|mac_inst|u_mult                                                                 ; 32    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[1].col[2].pe_inst|mac_inst                                                                        ; 49    ; 0              ; 1            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[1].col[2].pe_inst                                                                                 ; 35    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[1].col[1].pe_inst|mac_inst|u_add                                                                  ; 32    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[1].col[1].pe_inst|mac_inst|u_mult                                                                 ; 32    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[1].col[1].pe_inst|mac_inst                                                                        ; 49    ; 0              ; 1            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[1].col[1].pe_inst                                                                                 ; 35    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[1].col[0].pe_inst|mac_inst|u_add                                                                  ; 32    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[1].col[0].pe_inst|mac_inst|u_mult                                                                 ; 32    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[1].col[0].pe_inst|mac_inst                                                                        ; 49    ; 0              ; 1            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[1].col[0].pe_inst                                                                                 ; 35    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[0].col[2].pe_inst|mac_inst|u_add                                                                  ; 32    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[0].col[2].pe_inst|mac_inst|u_mult                                                                 ; 32    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[0].col[2].pe_inst|mac_inst                                                                        ; 49    ; 0              ; 1            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[0].col[2].pe_inst                                                                                 ; 35    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[0].col[1].pe_inst|mac_inst|u_add                                                                  ; 32    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[0].col[1].pe_inst|mac_inst|u_mult                                                                 ; 32    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[0].col[1].pe_inst|mac_inst                                                                        ; 49    ; 0              ; 1            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[0].col[1].pe_inst                                                                                 ; 35    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[0].col[0].pe_inst|mac_inst|u_add                                                                  ; 32    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[0].col[0].pe_inst|mac_inst|u_mult                                                                 ; 32    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[0].col[0].pe_inst|mac_inst                                                                        ; 49    ; 0              ; 1            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst|row[0].col[0].pe_inst                                                                                 ; 35    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|sys_arr_inst                                                                                                       ; 99    ; 0              ; 0            ; 0              ; 144    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0|skew_inst                                                                                                          ; 99    ; 0              ; 0            ; 0              ; 96     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|matrix_accel_top_systolic_aray_0                                                                                                                    ; 50    ; 0              ; 16           ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|jtag_uart_0|the_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|wr_ptr                                                                      ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|jtag_uart_0|the_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|rd_ptr_count                                                                ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|jtag_uart_0|the_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|FIFOram|altsyncram2                                                         ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|jtag_uart_0|the_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|FIFOram                                                                     ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|jtag_uart_0|the_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state|count_usedw                                                      ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|jtag_uart_0|the_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state                                                                  ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|jtag_uart_0|the_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo                                                                             ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|jtag_uart_0|the_system_jtag_uart_0_scfifo_r|rfifo|auto_generated                                                                                    ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|jtag_uart_0|the_system_jtag_uart_0_scfifo_r                                                                                                         ; 13    ; 0              ; 1            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|jtag_uart_0|the_system_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|wr_ptr                                                                      ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|jtag_uart_0|the_system_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|rd_ptr_count                                                                ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|jtag_uart_0|the_system_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|FIFOram|altsyncram2                                                         ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|jtag_uart_0|the_system_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|FIFOram                                                                     ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|jtag_uart_0|the_system_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state|count_usedw                                                      ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|jtag_uart_0|the_system_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state                                                                  ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|jtag_uart_0|the_system_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo                                                                             ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|jtag_uart_0|the_system_jtag_uart_0_scfifo_w|wfifo|auto_generated                                                                                    ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|jtag_uart_0|the_system_jtag_uart_0_scfifo_w                                                                                                         ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_system|jtag_uart_0                                                                                                                                         ; 38    ; 10             ; 23           ; 10             ; 34     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
